Id,Question,implicit_intermediate_question,implicit_answer_type,gpt_intermediate_question,gpt_answer_type,difference_type
2896,In what season did Bob Burnquist become the fifth skater to land a fakie 900 in the Summer X-Games Los Angeles Vert Best Trick?,When Bob Burnquist became the fifth skater to land a fakie 900 in the Summer X-Games Los Angeles Vert Best Trick,date,When Bob Burnquist landed a fakie 900 in the Summer X-Games Los Angeles Vert Best Trick,date,intermediate_question_different
2897,"What is the league below Major League Soccer, which has included 29 teams in the U.S. and 3 in Canada since the season?",When the league below Major League Soccer included 29 teams in the U.S. and 3 in Canada,time interval,When 29 teams in the U.S. and 3 in Canada joined Major League Soccer,date,intermediate_question_and_answer_type_different
2899,"During Lloyd Glasspool's appearance in the ATP Tour Finals SF, which edition of the doubles tennis tournament did he take part in?",When Lloyd Glasspool appeared in the ATP Tour Finals SF,date,When Lloyd Glasspool appeared in the ATP Tour Finals SF,time interval,answer_type_different
2903,"After Kurt Blaum was elected head of government, which neighborhood of Frankfurt was made a city district?",When Kurt Blaum was elected head of government of Frankfurt,date,When Kurt Blaum was elected head of government,date,intermediate_question_different
2905,"After Frank Tashlin left his former boss Van Beuren, which animation studio did he work for?",When Frank Tashlin left Van Beuren,date,When Frank Tashlin left his former boss Van Beuren,time interval,intermediate_question_and_answer_type_different
2906,Who was the secretary general of the Hungarian Socialist Workers' Party when they took over the country with Soviet support?,When the Hungarian Socialist Workers' Party took over the country with Soviet support,date,When the Hungarian Socialist Workers' Party took over the country with Soviet support,time interval,answer_type_different
2907,Who was the leader of Livorno when the city was first founded?,When Livorno was first founded,date,When was the city of Livorno first founded?,date,intermediate_question_different
2908,What sport was Louis Zamperini competing in at the Berlin Olympic finals where he finished 8th and set a new lap record?,When Louis Zamperini competed in the Berlin Olympic finals where he finished 8th and set a new lap record,date,When Louis Zamperini competed in the Berlin Olympic finals,date,intermediate_question_different
2909,Who was the Chicago Public Schools chief executive officer before Janice K. Jackson?,When Janice K. Jackson was Chicago Public Schools chief executive officer,time interval,When Janice K. Jackson became the Chicago Public Schools Chief Executive Officer,date,intermediate_question_and_answer_type_different
2912,"After ending her college career at Minnesota, what season did Lindsay Whalen start wearing the number 13 jersey?",When Lindsay Whalen ended her college career at Minnesota,date,When Lindsay Whalen ended her college career at Minnesota,time interval,answer_type_different
2913,Who was the chairperson of United Russia when it was founded 21 years ago?,When United Russia was founded,date,When United Russia was founded?,date,intermediate_question_different
2914,"After Mark Cahill was a member of Auburn Tigers men's basketball, who became the only head men's basketball coach to coach three consecutive 20-win seasons?",When Mark Cahill was a member of Auburn Tigers men's basketball,time interval,When Mark Cahill was a member of Auburn Tigers men's basketball,date,answer_type_different
2915,Who held office as Prime Minister of the Cook Islands while Mark Brown was in power?,When Mark Brown was in power as Prime Minister of the Cook Islands,time interval,When Mark Brown was in power as Prime Minister of the Cook Islands,date,answer_type_different
2919,What baseball team did Marge Schott win a World Series Championship with during her years of active involvement?,When Marge Schott was actively involved in baseball,time interval,When Marge Schott was actively involved with a baseball team,time interval,intermediate_question_different
2921,Where did Walter Sickert go after moving from University College School and studying at King's College School until the age of 18?,When Walter Sickert studied at King's College School until the age of 18,time interval,When Walter Sickert moved from University College School to study at King's College School,date,intermediate_question_and_answer_type_different
2922,"During Georgia's admittance to the Union, which constitution was the fourth state to ratify?",When Georgia was admitted to the Union,date,When Georgia was admitted to the Union,time interval,answer_type_different
2923,Who was the last Engelbert Dollfuss in the first Austrian Republic (Republik Österreich in German)?,When the first Austrian Republic (Republik Österreich in German) existed,time interval,When the first Austrian Republic (Republik Österreich in German) ended,date,intermediate_question_and_answer_type_different
2924,Who succeeded Atle Andersen as the head of government of Lødingen?,When Atle Andersen was the head of government of Lødingen,time interval,When Atle Andersen left his position as the head of government of Lødingen,date,intermediate_question_and_answer_type_different
2925,"During David Layne's senior career, which club was he loaned to while playing for Sheffield Wednesday?",When David Layne played for Sheffield Wednesday,time interval,When David Layne's was loaned to while playing for Sheffield Wednesday / When David Layne's senior career start,time interval,intermediate_question_different
2927,"During Alexander Lukashenko's presidency, in which referendum were term limits for the president eliminated?",When Alexander Lukashenko's presidency began,time interval,When term limits for Alexander Lukashenko were eliminated in a referendum?,date,intermediate_question_and_answer_type_different
2928,In which season of the FIA World Endurance Championship did Loïc Duval achieve his best finish of 1st place in the 24 Hours of Le Mans?,When Loïc Duval achieved his best finish of 1st place in the 24 Hours of Le Mans,date,When Loïc Duval achieved his best finish of 1st place in the 24 Hours of Le Mans,time interval,answer_type_different
2929,Who was Annabella's husband after she became an actress?,When Annabella became an actress,date,When Annabella became an actress,time interval,answer_type_different
2930,Who was the mayor of the Ludwigsburg area (+43.66) at the time?,When the Ludwigsburg area (+43.66) existed,time interval,When was the area Ludwigsburg (+43.66) under the mayor,time interval,intermediate_question_different
2932,What was the Louisiana anthem during the time of 'Give Me Louisiana'?,When 'Give Me Louisiana' was the Louisiana anthem,time interval,When was Give Me Louisiana released,date,intermediate_question_and_answer_type_different
2933,"Before Maria Alyokhina was released through amnesty, what corrective labor colony was she detained in?",When Maria Alyokhina was detained,time interval,When Maria Alyokhina was detained in a corrective labor colony,date,intermediate_question_and_answer_type_different
2934,What season did Toni Kukoč play in the EuroBasket Italy after his time with Jugoplastika?,When Toni Kukoč played for Jugoplastika,time interval,When Toni Kukoč’s time with Jugoplastika ended,time interval,intermediate_question_different
2936,What basketball team did Armen Gilliam join after his coaching career?,When Armen Gilliam had a coaching career,time interval,When Armen Gilliam's coaching career ended,time interval,intermediate_question_different
2937,Who was in command of the 8th Royal Tank Regiment after it amalgamated with the 10th Royal Tank Regiment?,When the 8th Royal Tank Regiment amalgamated with the 10th Royal Tank Regiment,date,When the 8th Royal Tank Regiment amalgamated with the 10th Royal Tank Regiment,time interval,answer_type_different
2938,"After Dallas ""Dusty"" Hill was born in Texas, US, he became the bassist of which rock band for over 50 years?","When Dallas ""Dusty"" Hill was born",date,"When Dallas ""Dusty"" Hill was born in Texas, US",date,intermediate_question_different
2939,What type of government was used by the Dutch Empire prior to the Proclamation of Indonesian Independence?,When the Proclamation of Indonesian Independence occurred,date,When the Proclamation of Indonesian Independence was enacted,date,intermediate_question_different
2941,Who owned Aston Villa F.C when Steven Gerrard was head coach?,When Steven Gerrard was head coach of Aston Villa F.C,time interval,When Steven Gerrard was head coach of Aston Villa F.C.,time interval,intermediate_question_different
2948,"During the Chelyabinsk Oblast Census, who was the head of government?",When the Chelyabinsk Oblast Census was conducted,time interval,When the Chelyabinsk Oblast Census happened,date,intermediate_question_and_answer_type_different
2949,"After George Best's time at AFC Bournemouth, which club marked the start of his senior career (0)?",When George Best's time at AFC Bournemouth ended,date,When George Best's time at AFC Bournemouth started,time interval,intermediate_question_and_answer_type_different
2951,Who was the Ottoman Navy Minister between Bozcaadalı Hasan Hüsnü Paşa and Fuat Hüsnü Kayacan?,When Bozcaadalı Hasan Hüsnü Paşa was Ottoman Navy Minister,time interval,When Bozcaadalı Hasan Hüsnü Paşa and Fuat Hüsnü Kayacan served as Ottoman Navy Minister,time interval,intermediate_question_different
2953,"Who was the first president of Azad Jammu Kashmir, 75 years ago?",When the first president of Azad Jammu Kashmir was in office,time interval,When Azad Jammu Kashmir was established,date,intermediate_question_and_answer_type_different
2954,Who was the mayor of Hammerfest before Terje Wikstrøm?,When Terje Wikstrøm was mayor of Hammerfest,time interval,When Terje Wikstrøm became the mayor of Hammerfest,date,intermediate_question_and_answer_type_different
2955,Who was the occupant of the Muskö naval base when it was built?,When the Muskö naval base was built,time interval,When the Muskö naval base was built,date,answer_type_different
2956,"During Lee Kerslake's career, which rock band did he play for and record three albums with?",When Lee Kerslake's career with the rock band occurred,time interval,When Lee Kerslake recorded his three albums with a rock band,time interval,intermediate_question_different
2959,"When Mahinda Rajapaksa was Minister of Highways Ports Shipping in office, which Sri Lankan parliamentary election did he get re-elected for a second term?",When Mahinda Rajapaksa was Minister of Highways Ports Shipping in office,time interval,When Mahinda Rajapaksa was Minister of Highways Ports Shipping,date,intermediate_question_and_answer_type_different
2961,What provinces was Jülich located in before it was part of the Rhine Province?,When Jülich was part of the Rhine Province,time interval,When Jülich became part of Rhine Province,date,intermediate_question_and_answer_type_different
2962,"During World Wars I and II, who was responsible for granting the 'Royal' prefix to the Corps of Military Police, thus changing its name to the Royal Military Police?",When the Corps of Military Police was granted the 'Royal' prefix,date,During World Wars I and II,time interval,intermediate_question_and_answer_type_different
2963,"In response to the protests following the murder of George Floyd, what did Virginia Governor Ralph Northam order to be removed from the Robert E. Lee Monument in Richmond, Virginia?",When the protests following the murder of George Floyd occurred,time interval,"When Governor Ralph Northam ordered to be removed from the Robert E. Lee Monument in Richmond, Virginia",date,intermediate_question_and_answer_type_different
2964,"During Mammad Hasan Jafargulu oglu Hajinski's political career, which Communist Party was he a member of?",When Mammad Hasan Jafargulu oglu Hajinski's political career occurred,time interval,When Mammad Hasan Jafargulu oglu Hajinski's political career began,date,intermediate_question_and_answer_type_different
2966,"When Patrick Jarry was the Mayor of Nanterre, which canton of France was it the capital of?",When Patrick Jarry was the Mayor of Nanterre,time interval,When Patrick Jarry was the Mayor of Nanterre,date,answer_type_different
2968,"During Sergei Krikalev's time at the Leningrad Mechanical Institute (now known as Baltic State Technical University), which industrial organization did he join upon receiving his mechanical engineering degree?",When Sergei Krikalev was at the Leningrad Mechanical Institute,time interval,When Sergei Krikalev received his mechanical engineering degree from the Leningrad Mechanical Institute (now known as Baltic State Technical University),date,intermediate_question_and_answer_type_different
2969,"After Mikhail Popkov led dozens of women and one policeman in Angarsk and other locations within the Irkutsk region, what was his occupation?",When Mikhail Popkov led dozens of women and one policeman in Angarsk and other locations within the Irkutsk region,time interval,When Mikhail Popkov led dozens of women and one policeman in Angarsk and other locations within the Irkutsk region,date,answer_type_different
2971,"Before the Republic of Hawaii, what country was Honolulu part of?",When the Republic of Hawaii existed,time interval,When Honolulu became part of the Republic of Hawaii,date,intermediate_question_and_answer_type_different
2972,"When the South West Trains franchise was re-tendered, which company retained it?",When the South West Trains franchise was re-tendered,date,When South West Trains franchise was re-tendered,date,intermediate_question_different
2973,"In Bruce Rioch's first team debut, which association football club was he playing for when he made his league debut in a 1-0 defeat to Southend United?",When Bruce Rioch made his first team debut,date,When Bruce Rioch made his league debut in a 1-0 defeat to Southend United,date,intermediate_question_different
2975,"During Natee Thongsookkaew's Senior career, which football club did he captain for the Thailand national team?",When Natee Thongsookkaew's Senior career occurred,time interval,When Natee Thongsookkaew captained for the Thailand national team,time interval,intermediate_question_different
2976,Who was the head of government in Ryazan when the Ministry of Construction published an updated rating of the new urban digitalization index?,When the Ministry of Construction published an updated rating of the new urban digitalization index,date,When the Ministry of Construction published an updated rating of the new urban digitalization index in Ryazan,date,intermediate_question_different
2977,"At what association football club did Andro Charles Willem Knel start his senior career, according to his biography?",When Andro Charles Willem Knel started his senior career,date,When Andro Charles Willem Knel started his senior career,time interval,answer_type_different
2978,"Following his fourth term as United Nations secretary general, in which election did Kurt Waldheim run for an unprecedented third full term?",When Kurt Waldheim's fourth term as United Nations secretary general ended,date,When Kurt Waldheim ran for an unprecedented third full term,date,intermediate_question_different
2979,"In Worcestershire, what village did a LNWR G2 class 485 train registered by the London Midland and Scottish Railway derail?",When a LNWR G2 class 485 train registered by the London Midland and Scottish Railway derailed in Worcestershire,date,When the LNWR G2 class 485 train registered by the London Midland and Scottish Railway derailed in Worcestershire,date,intermediate_question_different
2980,Who was the chief executive officer for Nintendo when they reached the milestone of selling more than 5.592 billion video games and 836 million hardware units?,When Nintendo reached the milestone of selling more than 5.592 billion video games and 836 million hardware units,date,When Nintendo reached the milestone of selling more than 5.592 billion video games and 836 million hardware units,time interval,answer_type_different
2981,"During the Prohibition of Mixed Marriages Act, which amendment act was passed by the Parliament of South Africa to repeal the Prohibition of Mixed Marriages Act?",When the Prohibition of Mixed Marriages Act was in effect,time interval,When the Prohibition of Mixed Marriages Act was repealed,date,intermediate_question_and_answer_type_different
2982,What stadium served as the Buffalo Bills' home venue in the National Football League?,When the Buffalo Bills played in the National Football League,time interval,When Buffalo Bills played in National Football League,time interval,intermediate_question_different
2984,What association football club did Ederson play for after his youth career with São Paulo?,When Ederson's youth career with São Paulo ended,date,When Ederson's youth career with São Paulo ended,time interval,answer_type_different
2985,Who founded the Estados Unidos Mexicanos during the History of Mexico United Mexican States Estados Unidos Mexicanos?,When the Estados Unidos Mexicanos was founded,date,When was the foundation of the Estados Unidos Mexicanos,date,intermediate_question_different
2990,"What city did Manuel Rosales become mayor of again in the Venezuelan regional elections, despite being threatened with prison by Hugo Chavez?",When Manuel Rosales became mayor again in the Venezuelan regional elections,date,When Manuel Rosales became mayor of a city in the Venezuelan regional elections,time interval,intermediate_question_and_answer_type_different
2991,"Who hosted The Late Late Show for 10 years between the show's ending theme ""The Late Late Show"" by Nat King Cole and Byrne's successor?","When The Late Late Show had the ending theme ""The Late Late Show"" by Nat King Cole",time interval,"When The Late Late Show ended its theme ""The Late Late Show"" by Nat King Cole and a new host was appointed",time interval,intermediate_question_different
2992,"In what village did ISIL fighters detonate three car bombs, killing more than 220 people, during the ISIL claim responsibility for three attacks around the world during Ramadan Kobanî massacre?",When ISIL fighters detonated three car bombs in a village during Ramadan,date,When ISIL claim responsibility for three attacks around the world during Ramadan Kobanî massacre,time interval,intermediate_question_and_answer_type_different
2994,"During Christopher Dell's tenure as U.S. Ambassador to Angola, what country was he based in?",When Christopher Dell served as U.S. Ambassador to Angola,time interval,When Christopher Dell was U.S. Ambassador to Angola,time interval,intermediate_question_different
2996,Who was the final head of the Byelorussian Soviet Socialist Republic between its inception and dissolution?,When the Byelorussian Soviet Socialist Republic existed,time interval,When the Byelorussian Soviet Socialist Republic was dissolved,date,intermediate_question_and_answer_type_different
2999,Who replaced John Brumby as Leader of the Labor Party in Victoria when he agreed to resign in favour of the Shadow Treasurer?,When John Brumby resigned as Leader of the Labor Party in Victoria,date,When John Brumby agreed to resign in favour of the Shadow Treasurer,date,intermediate_question_different
3000,Who was the 14th Menteri Besar of Johor during the municipality of Muar?,When the municipality of Muar existed,time interval,When Muar became the 14th Menteri Besar of Johor,time interval,intermediate_question_different
3001,What club did Yevhen Neplyakh play for when he was called up to the Ukrainian national under-21 football team by coach Serhiy Kovalets?,When Yevhen Neplyakh was called up to the Ukrainian national under-21 football team by coach Serhiy Kovalets,date,When Yevhen Neplyakh was called up to the Ukrainian national under-21 football team by coach Serhiy Kovalets,time interval,answer_type_different
3005,Which ballet company was Ballet master choreographer and director of when the Virgin Group was founded by Richard Branson in England?,When the Virgin Group was founded by Richard Branson in England,date,When Richard Branson founded the Virgin Group in England,date,intermediate_question_different
3007,What was the name of the college sports team that John H. Outland played on after joining Penn College in Oskaloosa Iowa?,"When John H. Outland joined Penn College in Oskaloosa, Iowa",date,When John H. Outland joined Penn College in Oskaloosa Iowa,time interval,intermediate_question_and_answer_type_different
3008,What association football club was Jupp Derwall's senior career with prior to Rhenania Würselen?,When Jupp Derwall's senior career with Rhenania Würselen began,time interval,When Jupp Derwall's senior career with Rhenania Würselen began,date,answer_type_different
3009,"Before Xabi Alonso joined the Basque Country national team, what club was he loaned to?",When Xabi Alonso joined the Basque Country national team,time interval,When Xabi Alonso joined the Basque Country national team,date,answer_type_different
3010,What launch pad was built within the perimeter of Kennedy Space Center Launch Complex 39 during the period from January to to accommodate small-lift launch vehicles?,When the period from January to accommodate small-lift launch vehicles occurred,time interval,When Kennedy Space Center Launch Complex 39 was built to accommodate small-lift launch vehicles,time interval,intermediate_question_different
3013,"After the administrative territorial entity of Krasnoyarsk Okrug, what krai of a union republic of the Soviet Union was Krasnoyarsk located in?",When the administrative territorial entity of Krasnoyarsk Okrug existed,time interval,When Krasnoyarsk became part of the Krasnoyarsk Okrug,date,intermediate_question_and_answer_type_different
3014,Who was the British Protectorate of Malta during its inception and abolition?,When the British Protectorate of Malta was incepted and abolished,time interval,When the British Protectorate of Malta was established and abolished,time interval,intermediate_question_different
3015,Who was the head of government in Witten when an explosion occurred resulting in the deaths of 41 people?,When an explosion occurred in Witten resulting in the deaths of 41 people,date,When the explosion occurred in Witten resulting in the deaths of 41 people,date,intermediate_question_different
3016,Which album released by Chris Brown topped the Billboard 200 when he was performing in Sydney?,When Chris Brown was performing in Sydney,date,When Chris Brown was performing in Sydney,time interval,answer_type_different
3017,"During WWII, which Allied convoy in the North Atlantic was attacked by U-boats, resulting in the sinking of 15 ships?",When WWII occurred,time interval,When U-boats attacked Allied convoy in the North Atlantic during WWII,date,intermediate_question_and_answer_type_different
3018,Who replaced the French Second Republic as the head of state of the French Republic before the Second French Empire?,When the French Second Republic existed,time interval,When the Second French Republic was replaced as the head of state of the French Republic,date,intermediate_question_and_answer_type_different
3019,"During the Pan American Games São Paulo, which summer season did Enrique Figuerola compete in the 100 m event at the Summer Universiade Porto Alegre?",When the Pan American Games São Paulo occurred,time interval,When Enrique Figuerola competed in the 100 m event at the Summer Universiade Porto Alegre,date,intermediate_question_and_answer_type_different
3020,Who was the head coach of Birmingham City F.C. before Lee Bowyer?,When Lee Bowyer was head coach of Birmingham City F.C.,time interval,When Lee Bowyer became head coach of Birmingham City F.C.,date,intermediate_question_and_answer_type_different
3021,"During Birhanu Jula's tenure as Force Commander of the United Nations Interim Security Force for Abyei, what organisation was he serving?",When Birhanu Jula was Force Commander of the United Nations Interim Security Force for Abyei,time interval,When Birhanu Jula served as Force Commander of the United Nations Interim Security Force for Abyei,date,intermediate_question_and_answer_type_different
3022,"During Parliament-Funkadelic's run of nine number one hits on the American R&B music charts, who was singing and playing guitar?",When Parliament-Funkadelic had a run of nine number one hits on the American R&B music charts,time interval,When Parliament-Funkadelic had nine number one hits on the American R&B music charts,time interval,intermediate_question_different
3024,Who was the first governor of the Illinois Territory when it was created from the western part of the Indiana Territory?,When the Illinois Territory was created from the western part of the Indiana Territory,date,When the Illinois Territory was created from the western part of the Indiana Territory,time interval,answer_type_different
3026,"Before WWII Allied troops arrested German field marshal Walther von Brauchitsch, which treaty was signed by the Allies of World War II in July?",When WWII Allied troops arrested German field marshal Walther von Brauchitsch,date,When the Allies of World War II signed a treaty in July,date,intermediate_question_different
3028,What sports team did Bill Sharman play for prior to his professional basketball career?,When Bill Sharman's professional basketball career began,time interval,When Bill Sharman began his professional basketball career,time interval,intermediate_question_different
3029,"At the last Argentine general election, who replaced Rogelio Frigerio as Minister of the Interior, taking over as General Secretary of the Presidency?",When the last Argentine general election occurred,date,When Rogelio Frigerio was replaced as Minister of the Interior,time interval,intermediate_question_and_answer_type_different
3031,What court did Constance Glube become Chief Justice of while serving as the 21st Chief Justice of Nova Scotia?,When Constance Glube served as the 21st Chief Justice of Nova Scotia,time interval,When Constance Glube became the 21st Chief Justice of Nova Scotia,date,intermediate_question_and_answer_type_different
3032,"At the time of Joan Child's appointment as the 19th Speaker of the Australian House of Representatives, which Australian federal election was she the Member of the Parliament for Henty?",When Joan Child was appointed as the 19th Speaker of the Australian House of Representatives,date,When Joan Child was appointed to the 19th Speaker of the Australian House of Representatives,date,intermediate_question_different
3034,"During Gilad Erdan's tenure as a Likud member in the Knesset, which ministry of public security did he hold?",When Gilad Erdan served as a Likud member in the Knesset,time interval,When Gilad Erdan was a Likud member in the Knesset,time interval,intermediate_question_different
3035,What significant event occurred after Luna 16's lunar lander landed at 05:18 UTC?,When Luna 16's lunar lander landed at 05:18 UTC,date,When Luna 16's lunar lander landed at 05:18 UTC,time interval,answer_type_different
3037,What panel elected Joe Walsh to the Irish Seanad while he was a Senator?,When Joe Walsh was a Senator in the Irish Seanad,time interval,When Joe Walsh was elected to the Irish Seanad,date,intermediate_question_and_answer_type_different
3038,For which club did Anatoly Krutikov win the Soviet Top League during his senior career?,When Anatoly Krutikov's senior career in the Soviet Top League occurred,time interval,When Anatoly Krutikov won the Soviet Top League during his senior career,time interval,intermediate_question_different
3039,"After joining the Socialist Party, which political party did Paul Murphy (Irish politician) become a member of?",When Paul Murphy (Irish politician) joined the Socialist Party,date,When Paul Murphy (Irish politician) joined the Socialist Party,time interval,answer_type_different
3040,Who succeeded Jack Straw as Secretary of State for Foreign and Commonwealth Affairs after his tenure?,When Jack Straw served as Secretary of State for Foreign and Commonwealth Affairs,time interval,When Jack Straw's tenure as Secretary of State for Foreign and Commonwealth Affairs ended,date,intermediate_question_and_answer_type_different
3043,Who wrote Kew Gardens Queens while it was one of the seven garden communities built in Queens in the late 19th century?,When Kew Gardens Queens was one of the seven garden communities built in Queens in the late 19th century,time interval,When Kew Gardens Queens was one of the seven garden communities built in Queens in the late 19th century?,time interval,intermediate_question_different
3045,What was the official symbol of Kumamoto when it was designated by government ordinance?,When Kumamoto was designated by government ordinance,date,When Kumamoto was designated by government ordinance,time interval,answer_type_different
3046,"During the term of the Bordeaux Government, who was the head of government for the Metro with an area of 6,315.6 km2 (2,438.5 sq mi)?",When the Bordeaux Government was in term,time interval,When the Bordeaux Government was in power,time interval,intermediate_question_different
3047,Which NAACP Image Award for Outstanding Supporting Actor in a Drama Series was awarded when CSI Crime Scene Investigation Seasons 1–8 were released in two parts?,When CSI Crime Scene Investigation Seasons 1–8 were released in two parts,time interval,When CSI Crime Scene Investigation Seasons 1–8 were released in two parts,date,answer_type_different
3049,Which Act of Congress in the United States gave the United States Senate Committee on Homeland Security and Governmental Affairs the jurisdiction to include homeland security in its scope?,When the United States Senate Committee on Homeland Security and Governmental Affairs had jurisdiction to include homeland security in its scope,date,When United States Senate Committee on Homeland Security and Governmental Affairs was given the jurisdiction to include homeland security in its scope,date,intermediate_question_different
3052,"At the beginning of the United States presidential election in which Franklin D. Roosevelt was reelected for a fourth term, who was the frontrunner for the Republican nomination?",When the United States presidential election in which Franklin D. Roosevelt was reelected for a fourth term began,date,At the beginning of the United States presidential election in which Franklin D. Roosevelt was reelected for a fourth term,time interval,intermediate_question_and_answer_type_different
3054,Who was the Brooks Atkinson Theatre named after after the late Richard Mansfield?,When the Brooks Atkinson Theatre was named after Richard Mansfield,date,When Richard Mansfield passed away,date,intermediate_question_different
3055,What league was the Calgary Stampeders playing in during their current uniform season?,When the Calgary Stampeders' current uniform season occurred,time interval,When the Calgary Stampeders current uniform season began,time interval,intermediate_question_different
3056,"During Jiangsu's GDP development, who was the head of government?",When Jiangsu's GDP development occurred,time interval,When Jiangsu's GDP development took place,time interval,intermediate_question_different
3061,Who was responsible for the United States Military Government in Cuba during the period of the US Protectorate over Cuba?,When was the period of the US Protectorate over Cuba,time interval,When the US Protectorate over Cuba was in effect,time interval,intermediate_question_different
3062,"While Joan Fontaine was portraying Jane Eyre in the film adaptation, who protested Brocklehurst's order for curling Helen's hair to be cut?",When did Joan Fontaine portray Jane Eyre in the film adaptation,date,When Joan Fontaine was portraying Jane Eyre in the film adaptation,time interval,intermediate_question_and_answer_type_different
3063,"When Satoshi Hirayama was part of the Hiroshima Toyo Carp sports team, what was their home venue?",When was Satoshi Hirayama part of the Hiroshima Toyo Carp sports team,time interval,When Satoshi Hirayama was part of the Hiroshima Toyo Carp sports team,time interval,intermediate_question_different
3064,Who was the fourth overall pick when the Columbus Blue Jackets chose at the NHL Entry Draft on June 24?,When did the Columbus Blue Jackets choose at the NHL Entry Draft on June 24,date,When the Columbus Blue Jackets chose at the NHL Entry Draft on June 24,date,intermediate_question_different
3065,"During Grant Jackson's season with the Montreal Expos, which division did the team finish first in?",When was Grant Jackson's season with the Montreal Expos,time interval,When Grant Jackson was with Montreal Expos,time interval,intermediate_question_different
3066,What country was Chang Yung-fa a citizen of when he held the CBE?,When did Chang Yung-fa hold the CBE,time interval,When Chang Yung-fa held the CBE,time interval,intermediate_question_different
3067,"During Mayor François Astorg's time in office, which canton of France was Annecy the capital of?",When was Mayor François Astorg's time in office,time interval,When Mayor François Astorg was in office,time interval,intermediate_question_different
3068,Who was the head of government of Emmen when Cees Bijl was in office?,When was Cees Bijl in office,time interval,When Cees Bijl was in office of head government of Emmen,time interval,intermediate_question_different
3069,"During Mariano Rivera's time pitching for the Yankees, what sports season did he start off with a 3.72 ERA and two losses in April?",When was Mariano Rivera's time pitching for the Yankees,time interval,When Mariano Rivera started off pitching for the Yankees with a 3.72 ERA and two losses in April,date,intermediate_question_and_answer_type_different
3070,Who was the head coach of Cruzeiro E.C. while Ariel Cabral was a member of the team?,When was Ariel Cabral a member of Cruzeiro E.C.,time interval,When Ariel Cabral was a member of Cruzeiro E.C.,time interval,intermediate_question_different
3071,"When Joensuu was a municipality in Finland, what were its total area in km2 and sq mi?",When was Joensuu a municipality in Finland,time interval,When Joensuu was a municipality in Finland,date,intermediate_question_and_answer_type_different
3072,At which figure skating competition did Lily Kronberger win a World bronze medal in the Ladies' Singles event?,When did Lily Kronberger win a World bronze medal in the Ladies' Singles event,date,When Lily Kronberger won a World bronze medal in the Ladies' Singles event,date,intermediate_question_different
3074,Who was the head of government in Åsnes when the number of households was +3064?,When was the number of households in Åsnes +3064,date,When the number of households in Åsnes was +3064,date,intermediate_question_different
3075,With whom did Pink collaborate during her marriage to Carey Hart on the American leg of his FutureSex/LoveShow Tour?,When was Pink's marriage to Carey Hart,time interval,When Pink was married to Carey Hart during the American leg of his FutureSex/LoveShow Tour,time interval,intermediate_question_different
3076,"After she was born in London, England, what title of honor did Brigid Guinness receive?","When was Brigid Guinness born in London, England",date,"When Brigid Guinness was born in London, England",date,intermediate_question_different
3077,Who was the head of government in Tinn when the area was +690.8622197139132?,When was the area of Tinn +690.8622197139132,date,When the area was +690.8622197139132,date,intermediate_question_different
3078,What national association football team did Jakub Błaszczykowski join after playing for the Poland national under-19 football team?,When did Jakub Błaszczykowski play for the Poland national under-19 football team,time interval,When Jakub Błaszczykowski played for the Poland national under-19 football team,time interval,intermediate_question_different
3079,"After being listed as one of the greatest NFL players of all time, which sports team did Johnny Unitas play quarterback for?",When was Johnny Unitas listed as one of the greatest NFL players of all time,date,When Johnny Unitas was listed as one of the greatest NFL players of all time,time interval,intermediate_question_and_answer_type_different
3080,"After the purging of Red Army commanders opened up the possibility of promotion, what medal did Nikolai Vatutin receive?",When did the purging of Red Army commanders open up the possibility of promotion,date,When the purging of Red Army commanders opened up the possibility of promotion,time interval,intermediate_question_and_answer_type_different
3082,"When Elfriede Jelinek received the Walter-Hasenclever-Preis der Stadt Aachen, which theatrical troupe premiered her works?",When did Elfriede Jelinek receive the Walter-Hasenclever-Preis der Stadt Aachen,date,When Elfriede Jelinek received the Walter-Hasenclever-Preis der Stadt Aachen,date,intermediate_question_different
3083,"After Pravind Jugnauth assumed office as the 5th Prime Minister of Mauritius, what public office did he hold?",When did Pravind Jugnauth assume office as the 5th Prime Minister of Mauritius,date,When Pravind Jugnauth assumed office as the 5th Prime Minister of Mauritius,date,intermediate_question_different
3084,Who replaced August Seeling as the head of government in Duisburg?,When was August Seeling the head of government in Duisburg,time interval,When August Seeling was replaced as the head of government in Duisburg,date,intermediate_question_and_answer_type_different
3085,Which football club did Fernando Hierro join after his youth career with Vélez?,When was Fernando Hierro's youth career with Vélez,time interval,When Fernando Hierro's youth career with Vélez ended,time interval,intermediate_question_different
3086,"How did the Sri Lanka Air Force come to be formed in the Royal Ceylon Air Force (RCyAF), with the help of the RAF?",When was the Sri Lanka Air Force formed in the Royal Ceylon Air Force (RCyAF),date,"When Sri Lanka Air Force came to be formed in the Royal Ceylon Air Force (RCyAF), with the help of the RAF",date,intermediate_question_different
3087,In which season did Rikako Ikee Ikee swim at the World Aquatics Championships and break the FINA World Junior Swimming Championships record in the 50 and 100 meter butterfly events?,When did Rikako Ikee swim at the World Aquatics Championships and break the FINA World Junior Swimming Championships record in the 50 and 100 meter butterfly events,date,When Rikako Ikee Ikee broke the FINA World Junior Swimming Championships record in the 50 and 100 meter butterfly events,time interval,intermediate_question_and_answer_type_different
